titulos_noticias,links_noticias,comentarios_noticias,fecha_publicación,tag
China tiene una tecnología clave para crear un escudo antimisiles más eficaz que la Cúpula de Hierro: un escarabajo ,https://www.xataka.com/investigacion/china-tiene-tecnologia-clave-para-crear-escudo-antimisiles-eficaz-que-cupula-hierro-escarabajo,7,2025-07-18,ciencia-y-tecnologia
China tiene un nuevo juguete: un imán que genera un campo magnético 800.000 veces más fuerte que el de la Tierra ,https://www.xataka.com/investigacion/china-tiene-nuevo-juguete-iman-que-genera-campo-magnetico-800-000-veces-fuerte-que-tierra,6,2024-11-17,ciencia-y-tecnologia
Acabamos de encontrar el nuevo número primo más grande del mundo. Eso es tan difícil que hemos tardado seis años en lograrlo ,https://www.xataka.com/investigacion/acabamos-encontrar-nuevo-numero-primo-grande-mundo-eso-dificil-que-hemos-tardado-seis-anos-lograrlo,13,2024-10-22,ciencia-y-tecnologia
Unos investigadores querían un soporte capaz de guardar datos por miles de años. La solución: una memoria 5D de cuarzo,https://www.xataka.com/investigacion/unos-investigadores-querian-soporte-capaz-guardar-datos-miles-anos-solucion-memoria-5d-cuarzo,2,2024-09-24,ciencia-y-tecnologia
Un laboratorio descubre por accidente un condensador capaz de almacenar 19 veces más energía que los actuales,https://www.xataka.com/energia/equipo-coreano-ha-descubierto-accidente-condensador-capaz-almacenar-19-veces-energia-que-actuales,20,2024-05-10,ciencia-y-tecnologia
Novo Nordisk aterriza en España. Es un síntoma de algo más: el país se está convirtiendo en un hub tecnológico,https://www.xataka.com/empresas-y-economia/novo-nordisk-aterriza-espana-sintoma-algo-pais-se-esta-convirtiendo-hub-tecnologico,9,2023-09-20,ciencia-y-tecnologia
Elon Musk puso en órbita su coche hace cinco años. Tratando de averiguar qué fue de él desde entonces,https://www.xataka.com/magnet/elon-musk-puso-orbita-su-coche-hace-cinco-anos-tratando-averiguar-que-fue-entonces,6,2023-08-25,ciencia-y-tecnologia
"""As an AI language model..."": la academia se ha llenado de investigaciones sobre la IA escritas por la IA ",https://www.xataka.com/robotica-e-ia/as-an-ai-language-model-academia-se-ha-llenado-investigaciones-ia-escritas-ia,4,2023-08-11,ciencia-y-tecnologia
Se ofrece trabajo de investigador en Castilla y León. Requisitos: ser premio Nobel,https://www.xataka.com/investigacion/se-ofrece-trabajo-investigador-castilla-leon-requisitos-ser-premio-nobel,12,2023-05-31,ciencia-y-tecnologia
Intel prepara su propio ChatGPT para el ámbito científico. Uno con un trillón de parámetros ,https://www.xataka.com/robotica-e-ia/intel-prepara-su-propio-chatgpt-para-ambito-cientifico-uno-trillon-parametros,10,2023-05-23,ciencia-y-tecnologia
La nueva ley de ciencia mexicana no es una ley más: es una batalla clave en la gran guerra por la ciencia moderna,https://www.xataka.com/investigacion/nueva-ley-ciencia-mexicana-no-ley-batalla-clave-gran-guerra-ciencia-moderna,31,2023-05-09,ciencia-y-tecnologia
La revisión por pares es uno de los pilares de la ciencia. Ahora hay quien propone cambiarlo de arriba a abajo,https://www.xataka.com/investigacion/revision-pares-uno-pilares-ciencia-ahora-hay-quien-propone-cambiarlo-arriba-a-abajo,14,2022-11-12,ciencia-y-tecnologia
Conseguir cobre es cada vez más difícil. La solución puede estar en el aluminio ,https://www.xataka.com/investigacion/cobre-nuevo-petroleo-tenemos-potencial-alternativa-prometedora-aleacion-aluminio,32,2022-07-20,ciencia-y-tecnologia
¿Por qué seguimos buscando números primos más allá de los 22 millones de dígitos?,https://www.xataka.com/investigacion/que-seguimos-buscando-numeros-primos-2,48,2022-01-29,ciencia-y-tecnologia
Los experimentos científicos que quieren redefinir cuánto mide un segundo,https://www.xataka.com/investigacion/experimentos-cientificos-que-quieren-redefinir-cuanto-mide-segundo,6,2021-04-02,ciencia-y-tecnologia
"50.000 toneladas de agua y el tamaño de un edificio de 15 plantas: así es Super-Kamiokande, el mega observatorio de neutrinos",https://www.xataka.com/investigacion/50-000-toneladas-agua-tamano-edificio-15-plantas-asi-super-kamiokande-super-observatorio-neutrinos-1,47,2020-11-13,ciencia-y-tecnologia
La falacia Andalucía y otras formas de equivocarse con la información estadística,https://www.xataka.com/investigacion/falacia-andalucia-otras-formas-equivocarse-informacion-estadistica-1,36,2020-09-12,ciencia-y-tecnologia
Los doce botánicos rusos que murieron de hambre para proteger el mayor banco de frutas y semillas del mundo,https://www.xataka.com/ecologia-y-naturaleza/doce-botanicos-rusos-que-murieron-hambre-para-proteger-mayor-banco-frutas-semillas-mundo-1,72,2020-03-05,ciencia-y-tecnologia
Ver luz sin que la haya e incluso cerrando los ojos: el extraño fenómeno de los flashes cósmicos en las retinas de los astronautas,https://www.xataka.com/espacio/ver-luz-que-haya-e-incluso-cerrando-ojos-extrano-fenomeno-flashes-cosmicos-retinas-astronautas,9,2020-01-01,ciencia-y-tecnologia
Una antena VLF de diez centímetros plantea una solución a las emisiones de radio subterráneas,https://www.xataka.com/accesorios/antena-vlf-cuatro-pulgadas-planeta-solucion-a-emisiones-radio-subterraneas,4,2019-04-12,ciencia-y-tecnologia
La mayoría de nosotros somos irremediablemente adictos al móvil. Un ex-trabajador de Google tiene la solución,https://www.xataka.com/moviles/vacia-pantalla-inicio-truco-extrabajador-google-para-no-usar-movil,3,2025-07-28,google
Los resúmenes con IA de Google están reduciendo los clics a la mitad. Y eso solo apunta en una dirección: el colapso,https://www.xataka.com/empresas-y-economia/resumenes-ia-google-estan-reduciendo-clics-a-mitad-eso-significa-que-ecosistema-web-esta-a-punto-colapsar,14,2025-07-24,google
"Google Fotos era un sitio donde guardábamos fotos. Google quiere que ahora sea un sitio donde se ""inventen"" nuestras fotos",https://www.xataka.com/robotica-e-ia/google-ha-mostrado-futuro-nuestros-videos-fotos-google-fotos-futuro-lleno-videos-falsos,1,2025-07-24,google
La huida hacia adelante de Alphabet: está gastando todo el PIB de Uruguay en la IA sin garantías de ganar la carrera,https://www.xataka.com/robotica-e-ia/alphabet-no-puede-esconder-al-gigantesco-elefante-habitacion-google-se-esta-dejando-millonada-absurda-ia,27,2025-07-24,google
MediaMarkt deja el Google Pixel 9 por menos de 500 euros con tan solo dos sencillos pasos,https://www.xataka.com/seleccion/mediamarkt-tiene-google-pixel-9-490-euros-solo-tienes-que-seguir-estos-pasos,0,2025-07-24,google
"La llegada de la IA a las matemáticas va más allá de una ""revolución"": está llegando a donde los matemáticos humanos no soñaron",https://www.xataka.com/robotica-e-ia/oro-historico-ia-olimpiada-matematicas-nos-prepara-para-algo-muy-grande-fin-problemas-matematicos-solucion,5,2025-07-22,google
El Google Pixel Watch 3 tiene ahora un descuentazo: una bestia de reloj a precio imbatible,https://www.xataka.com/seleccion/google-pixel-watch-3-esta-ahora-a-precio-outlet-mediamarkt-pantalla-actua-lleno-ia,0,2025-07-22,google
Google continúa rediseñando su buscador con IA. Su nueva función habla por teléfono con negocios en tu nombre,https://www.xataka.com/robotica-e-ia/durante-anos-fuimos-quienes-llamabamos-para-pedir-informacion-ahora-ia-google-llama-habla-nosotros,6,2025-07-17,google
Los Pixel 10 y el Pixel Watch ya tienen fecha de presentación: Google anuncia su evento de hardware,https://www.xataka.com/moviles/pixel-10-pixel-watch-tienen-fecha-presentacion-google-anuncia-su-evento-hardware,0,2025-07-17,google
"A OpenAI le están lloviendo golpes por todos los lados: el último lo firma Google ""levántandole"" su apuesta por el vibe coding ",https://www.xataka.com/robotica-e-ia/a-openai-le-estan-lloviendo-golpes-todos-lados-ultimo-firma-google-levantandole-su-apuesta-vibe-coding,4,2025-07-14,google
Vuelve a bajar de precio el Google Pixel 9 Pro XL: un móvil con pantalla grande y un buen descuento por tiempo limitado,https://www.xataka.com/seleccion/vuelve-a-bajar-precio-google-pixel-9-pro-xl-movil-pantalla-grande-descuento-tiempo-limitado,0,2025-07-11,google
"No es una oferta del Prime Day, pero al precio que está este Google Pixel 9a, no puedo dejar de recomendártelo",https://www.xataka.com/seleccion/no-esta-oferta-este-google-pixel-mejores-moviles-que-encontraras-500-euros,0,2025-07-11,google
Comet quiere acabar con el caos de pestañas: así es como el navegador de Perplexity apuesta por la 'fluidez de pensamiento',https://www.xataka.com/robotica-e-ia/comet-quiere-acabar-caos-pestanas-asi-como-navegador-perplexity-apuesta-fluidez-pensamiento,7,2025-07-09,google
Google tiene un nuevo y enorme cable submarino transatlántico. Uno que conectará Santander con Estados Unidos,https://www.xataka.com/ingenieria-y-megaconstrucciones/google-tiene-nuevo-enorme-cable-submarino-transatlantico-uno-que-conectara-santander-estados-unidos,4,2025-07-09,google
No es un error: MediaMarkt deja a precio imbatible (durante su Día sin IVA) este Google Pixel Watch 3,https://www.xataka.com/seleccion/mediamarkt-celebra-su-dia-iva-solo-tienes-unas-horas-para-conseguir-google-pixel-watch-3-a-precio-imbatible,0,2025-07-07,google
"Hemos probado el Pixel 9a durante un mes: el compacto de Google tiene muy buenos argumentos, aunque no todo brilla igual",https://www.xataka.com/analisis/hemos-probado-pixel-9a-durante-mes-compacto-google-tiene-muy-buenos-argumentos-no-todo-brilla-igual,6,2025-07-08,google
Los CEOs tecnológicos han perfeccionado un arte absurdo: sonar inteligentes sin decir absolutamente nada,https://www.xataka.com/empresas-y-economia/ceos-tecnologicos-han-perfeccionado-arte-absurdo-sonar-inteligentes-decir-absolutamente-nada,21,2025-07-05,google
"El Google Pixel Watch 2 alcanza su precio mínimo: un reloj con un diseño con personalidad, Fitbit y NFC",https://www.xataka.com/seleccion/reloj-personalidad-google-pixel-watch-2-viene-fitbit-nfc-ahora-cuesta-150-euros,0,2025-07-04,google
EEUU cobra por su IA pensando en el presente. China la regala pensando en las próximas décadas,https://www.xataka.com/robotica-e-ia/estados-unidos-esta-creando-iphone-ia-china-esta-haciendo-android-ia,2,2025-06-27,google
MediaMarkt vuelve a bajar el precio del Google Pixel 9 Pro XL: uno de los mejores smartphones con Android puro,https://www.xataka.com/seleccion/mediamarkt-vuelve-a-bajar-precio-google-pixel-9-pro-xl-uno-mejores-smartphones-android-puro,0,2025-06-26,google
El baño de la Estación Espacial Internacional falla tanto que los astronautas están evitando tomar café,https://www.xataka.com/espacio/ayer-evite-tomar-cafe-desagradable-averia-bano-iss-obliga-a-astronautas-a-extremar-precauciones,10,2025-07-24,nasa
Cuando la NASA perdió la mejor cámara que tenía en Júpiter sus ingenieros trazaron un plan. Un plan suicida,https://www.xataka.com/espacio/nasa-perdio-mejor-camara-que-tenia-jupiter-plan-suicida-ha-servido-para-recuperarla-exito,0,2025-07-24,nasa
Lo que SpaceX ha conseguido con Starship es increíble. El único problema es que lo ha hecho a costa de la salud de sus empleados,https://www.xataka.com/espacio/que-spacex-ha-conseguido-starship-increible-unico-problema-que-ha-hecho-a-costa-salud-sus-empleados,13,2025-07-22,nasa
Qué tipos de satélites existen: guía para no perderse en una gigantesca red de la que somos cada vez más dependientes ,https://www.xataka.com/espacio/que-tipos-satelites-existen-guia-para-no-perderse-gigantesca-red-que-somos-cada-vez-dependientes,1,2025-07-22,nasa
"Cuando la NASA quiso probar el avión supersónico más silencioso del mundo, recurrió al país más experto en el silencio: Japón",https://www.xataka.com/investigacion/nasa-queria-medir-firma-sonica-x-59-gran-precision-respuesta-estaba-al-otro-lado-pacifico-japon,1,2025-07-16,nasa
Las imágenes más cercanas al Sol jamás tomadas no solo son hipnóticas: muestran cómo se invierte el campo magnético,https://www.xataka.com/espacio/imagenes-cercanas-al-sol-jamas-tomadas-no-solo-hipnoticas-muestran-como-se-invierte-campo-magnetico,2,2025-07-16,nasa
Sabemos exactamente dónde y cuándo ocurrirá el eclipse solar más largo de la historia: lo verán nuestros tataranietos,https://www.xataka.com/espacio/sabemos-exactamente-donde-cuando-ocurrira-eclipse-solar-largo-historia-veran-nuestros-bisnietos,2,2025-07-15,nasa
EEUU quiere renunciar a traer las muestras más valiosas recogidas en Marte. Lockheed promete hacerlo por menos de la mitad,https://www.xataka.com/espacio/eeuu-quiere-renunciar-a-traer-muestras-valiosas-recogidas-marte-lockheed-promete-hacerlo-mitad,7,2025-07-07,nasa
La NASA encerró a cuatro voluntarios un año simulando su vida en Marte. Lo que no faltó: una biblioteca entera de juegos de PS4 ,https://www.xataka.com/espacio/nasa-encerro-a-cuatro-voluntarios-ano-simulando-su-vida-marte-que-no-falto-biblioteca-entera-juegos-ps4,8,2025-07-07,nasa
Qué son las tormentas solares y por qué la sociedad se ha vuelto tan vulnerable a algo que lleva ocurriendo millones de años,https://www.xataka.com/espacio/que-tormentas-solares-que-sociedad-se-ha-vuelto-vulnerable-a-algo-que-lleva-ocurriendo-millones-anos,0,2025-07-05,nasa
La NASA se propuso enviar una mujer a la Luna antes de que lo haga China. Se le está complicando cada vez más,https://www.xataka.com/espacio/nasa-se-propuso-enviar-mujer-a-luna-haga-china-se-le-esta-complicando-cada-vez,10,2025-06-20,nasa
Algo raro está pasando con las nubes del planeta. Algo que traerá consecuencias no muy agradables,https://www.xataka.com/ecologia-y-naturaleza/algo-raro-esta-pasando-nubes-planeta-se-estan-encogiendo-moviendo-polos,4,2025-06-20,nasa
"La velocidad más alta alcanzada por humanos fue de 39.937,7 km/h hace ya 56 años. Está a punto de ser superada",https://www.xataka.com/espacio/velocidad-alta-alcanzada-humanos-fue-39-937-7-km-h-hace-56-anos-esta-a-punto-ser-superada,10,2025-06-16,nasa
"El crecimiento de Starlink es tan, tan brutal que SpaceX está a un año de superar el presupuesto anual de la NASA",https://www.xataka.com/espacio/crecimiento-starlink-brutal-que-spacex-esta-a-ano-superar-presupuesto-anual-nasa,12,2025-06-03,nasa
"Mientras la NASA se enfrenta a la cancelación de 41 misiones, China está haciendo auténticas virguerías en el espacio",https://www.xataka.com/espacio/nasa-se-enfrenta-a-cancelacion-41-misiones-china-esta-haciendo-autenticas-virguerias-espacio,7,2025-06-03,nasa
Elon Musk entró en el Gobierno de EEUU con el objetivo de tener a una NASA más favorable a sus intereses. Le ha salido regular,https://www.xataka.com/espacio/insolita-tomadura-pelo-a-nasa-jared-isaacman-ha-sido-apartado-salida-elon-musk-casa-blanca,2,2025-06-01,nasa
El rover Curiosity lleva 12 años escalando una montaña de Marte. Acaba de mandar un vídeo impresionante desde arriba,https://www.xataka.com/espacio/rover-curiosity-lleva-12-anos-escalando-montana-marte-acaba-mandar-video-impresionante-arriba,3,2025-05-23,nasa
Mandar un humano al espacio era un hito solo al alcance de de tres países del mundo. Ahora está por sumarse uno más,https://www.xataka.com/espacio/solo-tres-paises-han-lanzado-seres-humanos-al-espacio-cuarto-esta-a-punto-sumarse-al-club-india,2,2025-05-22,nasa
Blue Origin tiene ahora una oportunidad de oro para adelantar a SpaceX en los viajes a la Luna. Y la está aprovechando,https://www.xataka.com/espacio/blue-origin-tenia-oportunidad-para-adelantar-a-spacex-viajes-a-luna-esta-aprovechando,3,2025-05-22,nasa
La Voyager 1 se niega a morir: los ingenieros de la NASA han reparado in extremis unos motores perdidos hace 20 años,https://www.xataka.com/espacio/voyager-1-se-niega-a-morir-ingenieros-nasa-han-reparado-in-extremis-unos-motores-perdidos-hace-20-anos,8,2025-05-15,nasa
'Eriksholm' es un juego con un 93% de críticas positivas en Steam y unos gráficos de locos. Y aún así se ha estrellado,https://www.xataka.com/videojuegos/eriksholm-juego-93-criticas-positivas-steam-unos-graficos-locos-se-ha-estrellado,6,2025-07-22,videojuegos
El ingenio de un programador convirtió un error fatídico de este videojuego clásico en un mensaje de felicitación,https://www.xataka.com/videojuegos/gracias-jugar-a-wing-commander-leyenda-urbana-videojuego-mitico-que-sigue-circulando-35-anos-despues,0,2025-07-21,videojuegos
Así se comporta la Switch 2 tras un mes de uso: la consola de Nintendo sorprende más por lo que mantiene que por lo que cambia,https://www.xataka.com/analisis/asi-se-comporta-switch-2-mes-uso-consola-nintendo-sorprende-que-mantiene-que-que-cambia,0,2025-07-16,videojuegos
"Que haga más calor que en el infierno no es algo que puedas controlar. La temperatura de tu PC mientras juegas, sí",https://www.xataka.com/videojuegos/jugar-a-videojuegos-pleno-verano-este-calor-horrible-he-encontrado-solucion-nube,11,2025-07-06,videojuegos
"Comprar estudios a mansalva le ha pasado factura a Xbox. La prueba: su última oleada de despidos, cierres y cancelaciones",https://www.xataka.com/videojuegos/devastadora-ola-despidos-microsoft-ha-levantado-cimientos-xbox-todos-cierres-grandes-cancelaciones,7,2025-07-03,videojuegos
Instaló Windows 95 en una PS2 y confirmó por qué es una de las consolas más indomables de Sony,https://www.xataka.com/ordenadores/instalo-windows-95-ps2-confirmo-que-consolas-indomables-sony,11,2025-07-02,videojuegos
"Si ves barras de energía sobre la cabeza de las personas, no estás alucinando: es un fenómeno común y se llama GTP",https://www.xataka.com/videojuegos/ves-barras-energia-cabeza-personas-no-estas-alucinando-fenomeno-comun-se-llama-gtp,12,2025-06-30,videojuegos
Llevo un mes sin encender la PS5. Mi nueva consola es Netflix y tengo claro que es el futuro de los videojuegos ,https://www.xataka.com/videojuegos/llevo-mes-encender-ps5-mi-nueva-consola-netflix-tengo-claro-que-futuro-videojuegos,20,2025-06-29,videojuegos
El catálogo de juegos de Netflix flaquea: desaparece el 20% y no está claro cuáles serán sus próximos pasos,https://www.xataka.com/videojuegos/netflix-hizo-apuesta-muy-fuerte-videojuegos-cuatro-anos-despues-sigue-dando-palos-ciego,6,2025-06-26,videojuegos
Jordi Wild intentó ir más allá del podcast creando su propio videojuego. De momento le está saliendo regular,https://www.xataka.com/videojuegos/jordi-wild-tambien-quiso-zambullirse-industria-videojuego-reconoce-su-fracaso-esta-paralizado,6,2025-06-25,videojuegos
Kojima vuelve a encerrarse en su burbuja con 'Death Stranding 2'. El resultado es una obra tan extraña como necesaria,https://www.xataka.com/videojuegos/kojima-vuelve-a-encerrarse-burbuja-death-stranding-2-resultado-obra-extrana-como-necesaria,9,2025-06-23,videojuegos
Me debato entre una Nintendo Switch 2 y una consola tipo Steam Deck: esta es la que yo elegiría tras probar ambas,https://www.xataka.com/videojuegos/estoy-nintendo-switch-2-consola-tipo-steam-deck-esta-que-yo-elegiria,28,2025-06-22,videojuegos
El robo de las Switch 2: así intentarán los ladrones colocar 3.000 consolas de Nintendo por valor de más de un millón de euros,https://www.xataka.com/videojuegos/cuando-iba-a-entregar-2-810-unidades-switch-2-conductor-camion-tuvo-que-parar-emergencia-le-habian-robado-1-2-millones-euros,2,2025-06-20,videojuegos
Hay nueva Xbox en el horizonte. Microsoft confirma que trabaja en hardware de nueva generación y deja un adelanto clave,https://www.xataka.com/videojuegos/hay-nueva-xbox-horizonte-microsoft-confirma-que-trabaja-hardware-nueva-generacion-deja-adelanto-clave,4,2025-06-17,videojuegos
'Mindseye' es el mayor fiasco de la industria desde 'Cyberpunk 2077'. Y un aviso de lo que no va bien en los videojuegos,https://www.xataka.com/videojuegos/mayor-fiasco-que-recuerda-industria-cyberpunk-2077-aviso-que-no-va-bien-videojuegos,11,2025-06-13,videojuegos
Hay posibilidades de que Switch 2 pulverice un récord de ventas de Playstation 4. Pero Nintendo tiene que dar abasto con el suministro,https://www.xataka.com/videojuegos/switch-2-ha-tardado-exactamente-dia-romper-su-primer-gran-record-3-millones-ventas-24-horas-nintyprime,10,2025-06-09,videojuegos
La Xbox portátil al fin es una realidad. El único detalle sin importancia es que no es exactamente una Xbox,https://www.xataka.com/videojuegos/llevabamos-anos-esperando-xbox-portatil-teniamos-enfrente-nuestras-narices,0,2025-06-09,videojuegos
He probado la Nintendo Switch 2 y ya tengo respuesta a la pregunta “¿merece la pena comprarla si tengo la Switch original”?,https://www.xataka.com/analisis/he-probado-nintendo-switch-2-tengo-respuesta-a-pregunta-merece-pena-comprarla-tengo-switch-original,35,2025-06-24,videojuegos
"Switch 2 es importante para Nintendo, pero también para una Nvidia que no quiere perder terreno contra AMD ",https://www.xataka.com/videojuegos/switch-2-importante-para-nintendo-tambien-para-nvidia-que-no-quiere-perder-terreno-amd,10,2025-06-06,videojuegos
Probamos juegos de Switch en Nintendo Switch 2. La sorpresa es mayúscula en juegos que antes se arrastraban,https://www.xataka.com/videojuegos/probamos-juegos-switch-nintendo-switch-2-sorpresa-mayuscula-juegos-que-antes-se-arrastraban,5,2025-06-06,videojuegos
